budget_mult,repetitions,avg_runtime,min_runtime,max_runtime,avg_nodes_explored,min_nodes_explored,max_nodes_explored,avg_pruned_bound,avg_pruning_rate,avg_makespan,min_makespan,max_makespan,successes,timeouts
1.2,5,0.49757046699523927,0.1285204887390136,1.6198770999908447,3274.4,850,4647,2553.2,0.7874957677819001,85.2,72.0,108.0,5,0
1.4,5,0.07865076065063473,0.0169980525970459,0.1695220470428466,987.8,185,2370,910.4,0.8934509235007569,136.8,120.0,162.0,5,0
1.6,5,1.255376672744751,0.0938785076141357,5.074151992797852,3543.8,236,11017,2734.6,0.7216750490393913,134.0,75.0,209.0,5,0
1.8,5,1.7743367195129394,0.0769226551055908,4.603765249252319,15572.6,352,46670,13399.2,0.8704221747974399,135.0,80.0,221.0,5,0
2.0,5,3.567761754989624,0.0139973163604736,12.424256324768066,29883.4,92,104614,25309.4,0.8995272948104678,152.6,102.0,304.0,5,0
2.2,5,1.274239730834961,0.0179996490478515,5.36431622505188,4901.8,177,19724,4248.8,0.8801670436805349,225.0,153.0,420.0,5,0
2.4,5,9.868781185150146,0.0304701328277587,20.64096736907959,47761.0,474,135278,41244.4,0.8563797729249508,171.0,108.0,220.0,5,0
2.6,5,7.4588957786560055,0.0380005836486816,33.80821776390076,46404.0,673,222069,41127.2,0.8199967242031476,194.6,100.0,357.0,5,0
2.8,5,9.094276809692383,0.0425062179565429,43.03435683250427,87550.6,714,423866,78947.8,0.8832814727597131,205.0,108.0,299.0,5,0
3.0,5,0.17865133285522455,0.0201437473297119,0.4840340614318847,2841.2,196,11724,2745.8,0.9015944118836737,363.0,300.0,480.0,5,0
3.2,5,13.657830810546875,0.0526940822601318,67.03616952896118,17111.2,941,62252,13815.8,0.9130590863775405,228.2,135.0,324.0,5,0
3.4,5,31.430113649368288,0.0123064517974853,152.92229866981506,16040.2,17,56395,12240.4,0.904309489084557,319.6,180.0,513.0,5,0
3.6,5,2.914964818954468,0.0488185882568359,12.173375129699709,9183.0,743,39672,7278.4,0.8650515379731198,311.4,170.0,364.0,5,0
3.8,5,0.14411478042602532,0.0139620304107666,0.4265830516815185,1426.8,18,2724,1375.0,0.9710375237393215,415.2,272.0,612.0,5,0
4.0,5,0.18128566741943358,0.0260076522827148,0.5485992431640625,3697.0,230,11444,3509.8,0.9371690261247719,395.8,209.0,666.0,5,0
4.2,5,9.728932094573974,0.025505781173706,47.46616053581238,23305.8,310,101433,20461.4,0.9235104516407235,393.2,247.0,551.0,5,0
4.4,5,1.4517459392547607,0.0290050506591796,6.646751880645752,3189.4,305,11267,2864.2,0.8561318838908243,484.0,306.0,703.0,5,0
4.6,5,2.652506685256958,0.0389177799224853,6.050295829772949,21326.2,497,58994,19505.6,0.9183222842725852,340.4,201.0,646.0,5,0
4.8,5,38.26998181343079,0.0239994525909423,162.35488438606262,131753.4,156,435982,121614.2,0.942045657947752,429.8,208.0,741.0,5,0
5.0,5,2.991424322128296,0.0500032901763916,6.036503553390503,26603.2,715,61115,25342.4,0.9436943292438744,380.4,352.0,442.0,5,0
5.2,5,0.279598045349121,0.0409998893737793,1.1480605602264404,3058.4,293,12735,2830.4,0.8915887252093089,551.8,338.0,740.0,5,0
5.4,5,15.115895891189576,0.0466642379760742,72.80273008346558,8907.0,514,29827,8052.8,0.8739498915926696,501.6,420.0,676.0,5,0
5.6,5,1.7017014980316163,0.227989912033081,4.832669019699097,12649.4,852,36714,12111.6,0.8445581162269982,456.4,216.0,828.0,5,0
5.8,5,22.73003911972046,0.0435547828674316,62.78747844696045,10557.4,466,43009,9805.8,0.8328043280141694,629.0,399.0,880.0,5,0
6.0,5,28.095019388198853,0.0370008945465087,74.39126300811768,39340.8,249,170016,37475.6,0.9438247348487607,610.6,268.0,1040.0,5,0
6.2,5,102.08813185691835,0.037083625793457,504.4450974464417,9569.4,204,35960,7248.2,0.8674487946127842,494.8,240.0,722.0,5,0
